date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:38:30	594/594	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2266cf5499-4f3%22	https://moxieroots.com/robots.txt		(from )
17:38:30	100658/100658	---MCZ	200	added ('OK')	text/html	etag:W/%229fdfd936368b5b473953e4a2f5519189%22	https://moxieroots.com/	D:/realityfaces/Ashraf's%20Scissors%20Hands/moxieroots.com/index.html	(from )
17:38:31	798/798	---M--	200	added ('OK')	image/png	etag:7d9559f929d4c5e7c0fb6daead65e8e9	http://static.showit.co/200/rvHddaboQBu2OtcwChQ13Q/223801/moxie_roots_co_favicon_1.png	D:/realityfaces/Ashraf's%20Scissors%20Hands/static.showit.co/200/rvHddaboQBu2OtcwChQ13Q/223801/moxie_roots_co_favicon_1.png	(from https://moxieroots.com/)
17:38:32	181804/181804	---M--	200	added ('OK')	image/jpeg	etag:4792413ba0092e2193c5a7a402272765	https://static.showit.co/1200/DO8NLW9kSdmOFuJkvSnPtQ/223801/cedar-falls-iowa-ibe-hair-extension-salon--70.jpg	D:/realityfaces/Ashraf's%20Scissors%20Hands/static.showit.co/1200/DO8NLW9kSdmOFuJkvSnPtQ/223801/cedar-falls-iowa-ibe-hair-extension-salon--70.jpg	(from https://moxieroots.com/)
17:38:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Apr%202026%2012:08:34%20GMT	https://cdn.websitepolicies.io/lib/cconsent/cconsent.min.js	D:/realityfaces/Ashraf's%20Scissors%20Hands/cdn.websitepolicies.io/lib/cconsent/cconsent.min.2.delayed	(from https://moxieroots.com/)
17:38:34	12924/12924	---MCZ	200	added ('OK')	text/javascript	etag:W/%226426e30f-327c%22	https://cdnconsents.websitepolicies.com/legacy/lib/cconsent/cconsent.min.js	D:/realityfaces/Ashraf's%20Scissors%20Hands/cdnconsents.websitepolicies.com/legacy/lib/cconsent/cconsent.min.js	(from https://moxieroots.com/)
17:38:35	55522/55522	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-d8e2%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.4.0/animate.min.css	D:/realityfaces/Ashraf's%20Scissors%20Hands/cdnjs.cloudflare.com/ajax/libs/animate.css/3.4.0/animate.min.css	(from https://moxieroots.com/)
17:38:36	49158/49158	---MCZ	200	added ('OK')	application/javascript	etag:W/%229b77e09293052d48738eacb7b25926d3%22	http://lib.showit.co/engine/2.2.6/showit-lib.min.js	D:/realityfaces/Ashraf's%20Scissors%20Hands/lib.showit.co/engine/2.2.6/showit-lib.min.js	(from https://moxieroots.com/)
17:38:38	7290/7290	---MCZ	200	added ('OK')	text/css	etag:W/%228e74b817a46d3ed438a34b919f7bd280%22	http://lib.showit.co/engine/2.2.6/showit.css	D:/realityfaces/Ashraf's%20Scissors%20Hands/lib.showit.co/engine/2.2.6/showit.css	(from https://moxieroots.com/)
17:38:38	61686/61686	---MCZ	200	added ('OK')	application/javascript	etag:W/%226965e357a419f46e3bbaae4dc192592c%22	http://lib.showit.co/engine/2.2.6/showit.min.js	D:/realityfaces/Ashraf's%20Scissors%20Hands/lib.showit.co/engine/2.2.6/showit.min.js	(from https://moxieroots.com/)
17:38:39	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	D:/realityfaces/Ashraf's%20Scissors%20Hands/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://moxieroots.com/)
17:38:39	79201/79201	---MCZ	200	added ('OK')	text/html	etag:W/%220c7260f043ae90b4510b1b0a994e77f9%22	https://moxieroots.com/care	D:/realityfaces/Ashraf's%20Scissors%20Hands/moxieroots.com/care.html	(from https://moxieroots.com/)
17:38:41	110461/110461	---MCZ	200	added ('OK')	text/html	etag:W/%22d88847c23105064af9d8bc8cd7b8dbbf%22	https://moxieroots.com/contact	D:/realityfaces/Ashraf's%20Scissors%20Hands/moxieroots.com/contact.html	(from https://moxieroots.com/)
17:38:41	86136/86136	---MCZ	200	added ('OK')	text/html	etag:W/%229bf4d5a39fc5ff8c87129c3226e6a76c%22	https://moxieroots.com/about	D:/realityfaces/Ashraf's%20Scissors%20Hands/moxieroots.com/about.html	(from https://moxieroots.com/)
17:38:42	7132/7132	---M--	200	added ('OK')	image/png	etag:a93e8a25c756d2789948c6ce96347507	http://static.showit.co/400/9KHTzSncRn6zWkQr-OPgLA/shared/logo_mr_brandmark1_white.png	D:/realityfaces/Ashraf's%20Scissors%20Hands/static.showit.co/400/9KHTzSncRn6zWkQr-OPgLA/shared/logo_mr_brandmark1_white.png	(from https://moxieroots.com/)
17:38:42	6314/6314	---M--	200	added ('OK')	image/png	etag:79bf713125e94d41c7d2bff8dc9dca4d	http://static.showit.co/400/-Q7BCt2rRfuVSqKYpM7X_A/shared/logo_mr_brandmark1_black.png	D:/realityfaces/Ashraf's%20Scissors%20Hands/static.showit.co/400/-Q7BCt2rRfuVSqKYpM7X_A/shared/logo_mr_brandmark1_black.png	(from https://moxieroots.com/)
17:38:45	171321/171321	---MCZ	200	added ('OK')	text/html	etag:W/%22090db0eb603c0107605297221f2474bb%22	https://moxieroots.com/extensions	D:/realityfaces/Ashraf's%20Scissors%20Hands/moxieroots.com/extensions.html	(from https://moxieroots.com/)
17:38:55	70555/70555	---M--	200	added ('OK')	image/jpeg	etag:718585b93acbb2f356932e3b64e603c4	http://static.showit.co/800/UuW719-aRxiYd2TNXYNe5w/shared/ibe-hair-extension-tools-moxie-roots-salon-cedar-falls-iowa-4.jpg	D:/realityfaces/Ashraf's%20Scissors%20Hands/static.showit.co/800/UuW719-aRxiYd2TNXYNe5w/shared/ibe-hair-extension-tools-moxie-roots-salon-cedar-falls-iowa-4.jpg	(from https://moxieroots.com/)
17:39:05	149526/149526	---M--	200	added ('OK')	image/jpeg	etag:dc628595b1c6167aef5786f7e341931a	http://static.showit.co/800/wib7g-aASnqSA24Xtg5o8A/shared/cedar-falls-iowa-ibe-hair-extension-salon--32.jpg	D:/realityfaces/Ashraf's%20Scissors%20Hands/static.showit.co/800/wib7g-aASnqSA24Xtg5o8A/shared/cedar-falls-iowa-ibe-hair-extension-salon--32.jpg	(from https://moxieroots.com/)
17:39:10	154549/154549	---M--	200	added ('OK')	image/jpeg	etag:fb64cb054c2f301ec832b41f341e966a	http://static.showit.co/800/0Oht_yJJScaxtXYsaMbdPw/shared/ashley-langdale-ibe-hair-extension-specialist-cedar-falls-iowa-salon-37.jpg	D:/realityfaces/Ashraf's%20Scissors%20Hands/static.showit.co/800/0Oht_yJJScaxtXYsaMbdPw/shared/ashley-langdale-ibe-hair-extension-specialist-cedar-falls-iowa-salon-37.jpg	(from https://moxieroots.com/)
17:39:10	177834/177834	---M--	200	added ('OK')	image/jpeg	etag:7fe58903ac21a8056b7172f13972a62e	http://static.showit.co/800/6v_qtUv4TUGdKXi-lUwTAA/shared/woman-wearing-invisible-bead-extensions-installed-by-ashley-moxie-roots-co-cedar-falls-iowa-img_4876.jpg	D:/realityfaces/Ashraf's%20Scissors%20Hands/static.showit.co/800/6v_qtUv4TUGdKXi-lUwTAA/shared/woman-wearing-invisible-bead-extensions-installed-by-ashley-moxie-roots-co-cedar-falls-iowa-img_4876.jpg	(from https://moxieroots.com/)
17:39:11	85348/85348	---MCZ	200	added ('OK')	text/html	etag:W/%229539ef01fa4a378fd3d4b0c1238d7de6%22	https://moxieroots.com/privacy	D:/realityfaces/Ashraf's%20Scissors%20Hands/moxieroots.com/privacy.html	(from https://moxieroots.com/)
